fighter,5D,Ref,event_odds_url,event_ufcstats_url,event_id,event_name
Mirko Filipovic,163.0,,https://www.bestfightodds.com/events/ufc-115-liddell-vs-franklin-255,http://www.ufcstats.com/event-details/cfb65863d5099327,ufc-115-liddell-vs-franklin-255,UFC 115: Liddell vs Franklin
Matt Wiman,-108.0,,https://www.bestfightodds.com/events/ufc-115-liddell-vs-franklin-255,http://www.ufcstats.com/event-details/cfb65863d5099327,ufc-115-liddell-vs-franklin-255,UFC 115: Liddell vs Franklin
Ben Rothwell,-185.0,,https://www.bestfightodds.com/events/ufc-115-liddell-vs-franklin-255,http://www.ufcstats.com/event-details/cfb65863d5099327,ufc-115-liddell-vs-franklin-255,UFC 115: Liddell vs Franklin
Evan Dunham,168.0,,https://www.bestfightodds.com/events/ufc-115-liddell-vs-franklin-255,http://www.ufcstats.com/event-details/cfb65863d5099327,ufc-115-liddell-vs-franklin-255,UFC 115: Liddell vs Franklin
Carlos Condit,118.0,,https://www.bestfightodds.com/events/ufc-115-liddell-vs-franklin-255,http://www.ufcstats.com/event-details/cfb65863d5099327,ufc-115-liddell-vs-franklin-255,UFC 115: Liddell vs Franklin
Peter Sobotta,265.0,,https://www.bestfightodds.com/events/ufc-115-liddell-vs-franklin-255,http://www.ufcstats.com/event-details/cfb65863d5099327,ufc-115-liddell-vs-franklin-255,UFC 115: Liddell vs Franklin
Yoshihiro Akiyama,-192.0,,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265,http://www.ufcstats.com/event-details/140745cbbcb023ac,ufc-116-lesnar-vs-carwin-265,UFC 116: Lesnar vs Carwin
Matt Brown,168.0,,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265,http://www.ufcstats.com/event-details/140745cbbcb023ac,ufc-116-lesnar-vs-carwin-265,UFC 116: Lesnar vs Carwin
David Branch,210.0,,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265,http://www.ufcstats.com/event-details/140745cbbcb023ac,ufc-116-lesnar-vs-carwin-265,UFC 116: Lesnar vs Carwin
Gerald Harris,-250.0,,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265,http://www.ufcstats.com/event-details/140745cbbcb023ac,ufc-116-lesnar-vs-carwin-265,UFC 116: Lesnar vs Carwin
Frankie Edgar,248.0,,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278,http://www.ufcstats.com/event-details/054defd5420a551f,ufc-118-edgar-vs-penn-2-278,UFC 118: Edgar vs Penn 2
Gray Maynard,130.0,,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278,http://www.ufcstats.com/event-details/054defd5420a551f,ufc-118-edgar-vs-penn-2-278,UFC 118: Edgar vs Penn 2
Nate Diaz,-190.0,,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278,http://www.ufcstats.com/event-details/054defd5420a551f,ufc-118-edgar-vs-penn-2-278,UFC 118: Edgar vs Penn 2
Andre Winner,-115.0,,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278,http://www.ufcstats.com/event-details/054defd5420a551f,ufc-118-edgar-vs-penn-2-278,UFC 118: Edgar vs Penn 2
Nik Lentz,105.0,,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278,http://www.ufcstats.com/event-details/054defd5420a551f,ufc-118-edgar-vs-penn-2-278,UFC 118: Edgar vs Penn 2
Demian Maia,-210.0,,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278,http://www.ufcstats.com/event-details/054defd5420a551f,ufc-118-edgar-vs-penn-2-278,UFC 118: Edgar vs Penn 2
John Salter,190.0,,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278,http://www.ufcstats.com/event-details/054defd5420a551f,ufc-118-edgar-vs-penn-2-278,UFC 118: Edgar vs Penn 2
Joe Lauzon,-320.0,,https://www.bestfightodds.com/events/ufc-118-edgar-vs-penn-2-278,http://www.ufcstats.com/event-details/054defd5420a551f,ufc-118-edgar-vs-penn-2-278,UFC 118: Edgar vs Penn 2
Lyoto Machida,-235.0,,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317,http://www.ufcstats.com/event-details/dd992d569aaebee6,ufc-123-rampage-vs-machida-317,UFC 123: Rampage vs Machida
Quinton Jackson,215.0,,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317,http://www.ufcstats.com/event-details/dd992d569aaebee6,ufc-123-rampage-vs-machida-317,UFC 123: Rampage vs Machida
Phil Davis,-485.0,,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317,http://www.ufcstats.com/event-details/dd992d569aaebee6,ufc-123-rampage-vs-machida-317,UFC 123: Rampage vs Machida
Tim Boetsch,425.0,,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317,http://www.ufcstats.com/event-details/dd992d569aaebee6,ufc-123-rampage-vs-machida-317,UFC 123: Rampage vs Machida
Joe Lauzon,205.0,,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317,http://www.ufcstats.com/event-details/dd992d569aaebee6,ufc-123-rampage-vs-machida-317,UFC 123: Rampage vs Machida
Gerald Harris,-250.0,,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317,http://www.ufcstats.com/event-details/dd992d569aaebee6,ufc-123-rampage-vs-machida-317,UFC 123: Rampage vs Machida
Matt Brown,120.0,,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317,http://www.ufcstats.com/event-details/dd992d569aaebee6,ufc-123-rampage-vs-machida-317,UFC 123: Rampage vs Machida
Edson Barboza,-445.0,,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317,http://www.ufcstats.com/event-details/dd992d569aaebee6,ufc-123-rampage-vs-machida-317,UFC 123: Rampage vs Machida
