,0,odds_search,fighter_odds_url
216,Amanda Lemos,https://www.bestfightodds.com/search?query=Amanda Lemos,/fighters/Amanda-Lemos-7335
217,Dean Barry,https://www.bestfightodds.com/search?query=Dean Barry,/fighters/Dean-Barry-9297
218,Marcin Prachnio,https://www.bestfightodds.com/search?query=Marcin Prachnio,/fighters/Marcin-Prachnio-6346
219,Maycee Barber,https://www.bestfightodds.com/search?query=Maycee Barber,/fighters/Maycee-Barber-7240
220,Preston Parsons,https://www.bestfightodds.com/search?query=Preston Parsons,/fighters/Preston-Parsons-6472
221,Jordan Wright,https://www.bestfightodds.com/search?query=Jordan Wright,/fighters/Jordan-Wright-7848
222,Istela Nunes,https://www.bestfightodds.com/search?query=Istela Nunes,/fighters/Istela-Nunes-7143
223,Lina Lansberg,https://www.bestfightodds.com/search?query=Lina Lansberg,/fighters/Lina-Lansberg-6972
224,Jordan Leavitt,https://www.bestfightodds.com/search?query=Jordan Leavitt,/fighters/Jordan-Leavitt-10210
225,Alatengheili Kevin,https://www.bestfightodds.com/search?query=Alatengheili Kevin,/fighters/Kevin-Cox-6774
226,Pat Sabatini,https://www.bestfightodds.com/search?query=Pat Sabatini,/fighters/Pat-Sabatini-8167
227,Chris Barnett,https://www.bestfightodds.com/search?query=Chris Barnett,/fighters/Chris-Barnett-3234
228,Miguel Baeza,https://www.bestfightodds.com/search?query=Miguel Baeza,/fighters/Miguel-Baeza-6383
229,Rafa Garcia,https://www.bestfightodds.com/search?query=Rafa Garcia,/fighters/Rafa-Garcia-9241
230,Mounir Lazzez,https://www.bestfightodds.com/search?query=Mounir Lazzez,/fighters/Mounir-Lazzez-10094
231,Aspen Ladd,https://www.bestfightodds.com/search?query=Aspen Ladd,/fighters/Aspen-Ladd-5464
232,Vinc Pichel,https://www.bestfightodds.com/search?query=Vinc Pichel,
233,Aljamain Sterling,https://www.bestfightodds.com/search?query=Aljamain Sterling,/fighters/Aljamain-Sterling-4688
234,Gilbert Burns,https://www.bestfightodds.com/search?query=Gilbert Burns,/fighters/Gilbert-Burns-4747
235,Piera Rodriguez,https://www.bestfightodds.com/search?query=Piera Rodriguez,/fighters/Piera-Rodriguez-11127
236,Aleksei Oleinik,https://www.bestfightodds.com/search?query=Aleksei Oleinik,/fighters/Aleksei-Oleinik-6914
237,Mackenzie Dern,https://www.bestfightodds.com/search?query=Mackenzie Dern,/fighters/Mackenzie-Dern-6488
238,Mickey Gall,https://www.bestfightodds.com/search?query=Mickey Gall,/fighters/Mickey-Gall-6162
239,Julio Arce,https://www.bestfightodds.com/search?query=Julio Arce,/fighters/Julio-Arce-7436
240,Anthony Hernandez,https://www.bestfightodds.com/search?query=Anthony Hernandez,/fighters/Anthony-Hernandez-6092
241,Askar Askarov,https://www.bestfightodds.com/search?query=Askar Askarov,/fighters/Askar-Askarov-8219
242,Jennifer Maia,https://www.bestfightodds.com/search?query=Jennifer Maia,/fighters/Jennifer-Maia-3198
243,Luis Saldana,https://www.bestfightodds.com/search?query=Luis Saldana,/fighters/Luis-Saldana-4475
244,Matt Brown,https://www.bestfightodds.com/search?query=Matt Brown,/fighters/Matt-Brown-775
245,Sara McMann,https://www.bestfightodds.com/search?query=Sara McMann,/fighters/Sara-McMann-2704
246,Aliaskhab Khizriev,https://www.bestfightodds.com/search?query=Aliaskhab Khizriev,/fighters/Aliaskhab-Khizriev-8002
247,Joanne Wood,https://www.bestfightodds.com/search?query=Joanne Wood,/fighters/Joanne-Wood-12845
248,Chris Gutierrez,https://www.bestfightodds.com/search?query=Chris Gutierrez,/fighters/Chris-Gutierrez-4725
249,Matheus Nicolau,https://www.bestfightodds.com/search?query=Matheus Nicolau,/fighters/Matheus-Nicolau-5923
250,Arnold Allen,https://www.bestfightodds.com/search?query=Arnold Allen,/fighters/Arnold-Allen-4218
251,Gunnar Nelson,https://www.bestfightodds.com/search?query=Gunnar Nelson,/fighters/Gunnar-Nelson-3160
252,Shamil Abdurakhimov,https://www.bestfightodds.com/search?query=Shamil Abdurakhimov,/fighters/Shamil-Abdurakhimov-6102
253,Jack Shore,https://www.bestfightodds.com/search?query=Jack Shore,/fighters/Jack-Shore-6409
254,Mike Grundy,https://www.bestfightodds.com/search?query=Mike Grundy,/fighters/Mike-Grundy-8909
255,Khalil Rountree,https://www.bestfightodds.com/search?query=Khalil Rountree,/fighters/Khalil-Rountree-4935
