,Unnamed: 0,Fighter_A,Fighter_B,A_Kd,B_Kd,A_Sig_strike_land,A_Sig_strike_att,B_Sig_strike_land,B_Sig_strike_att,A_Sig_strike_percent,B_Sig_strike_percent,A_Total_Strikes,B_Total_Strikes,A_Total_Strikes_land,A_Total_Strikes_att,B_Total_Strikes_land,B_Total_Strikes_att,A_Total_Strikes_percent,B_Total_Strikes_percent,A_Takedowns_land,A_Takedowns_att,B_Takedowns_land,B_Takedowns_att,A_Takedown_percent,B_Takedown_percent,A_Sub_Attempts_land,A_Sub_Attempts_att,B_Sub_Attempts_land,B_Sub_Attempts_att,A_Rev,B_Rev,A_Ctrl_time_min,A_Ctrl_time_sec,B_Ctrl_time_min,B_Ctrl_time_sec,A_Ctrl_time_tot,B_Ctrl_time_tot,details,event_title,event_url,date,Winner
2259,0,Jim Alers,Jason Knight,0,0,41,100,76,225,0.41,0.33,49 of 110,95 of 245,49,110,95,245,0.4454545454545454,0.3877551020408163,4,10,1,2,0.4,0.5,0,,0,,0,0,3,22.0,0,46.0,202.0,46.0,Gabriel Sabaitis                                     28 - 29.          Rick Winter                                     29 - 28.          Matt Janecek                                     28 - 29.,UFC on FOX: Holm vs. Shevchenko,http://www.ufcstats.com/event-details/8a028648f3f0761d,"July 23, 2016",Jason Knight
2260,0,Alex Caceres,Jason Knight,0,0,27,58,31,95,0.46,0.32,27 of 58,46 of 112,27,58,46,112,0.4655172413793103,0.4107142857142857,0,0,2,4,,0.5,0,,4,,0,0,0,1.0,3,24.0,1.0,204.0,Rear Naked Choke,UFC on FOX: Shevchenko vs. Pena,http://www.ufcstats.com/event-details/4512e46543b960ad,"January 28, 2017",Jason Knight
2261,0,Jason Dent,Cameron Dollar,0,0,14,36,24,63,0.38,0.38,14 of 36,24 of 63,14,36,24,63,0.3888888888888889,0.3809523809523809,0,0,0,1,,0.0,1,,0,,0,0,0,30.0,0,5.0,30.0,5.0,Anaconda Choke From Front Headlock,The Ultimate Fighter: United States vs. United Kingdom Finale,http://www.ufcstats.com/event-details/4908c5ee68a50ee5,"June 20, 2009",Jason Dent
2262,0,Jack Marshman,John Phillips,0,1,31,149,32,95,0.2,0.33,31 of 149,35 of 99,31,149,35,99,0.2080536912751678,0.3535353535353535,0,0,0,0,,,0,,0,,0,0,0,0.0,0,36.0,0.0,36.0,Pawel Harasim                                     29 - 28.          Mark Collett                                     28 - 29.          Andy Roberts                                     28 - 29.,UFC Fight Night: Till vs. Masvidal,http://www.ufcstats.com/event-details/80eacd4da0617c57,"March 16, 2019",Jack Marshman
2263,0,Pat Miletich,Townsend Saunders,0,0,18,27,13,34,0.66,0.38,64 of 74,46 of 71,64,74,46,71,0.8648648648648649,0.647887323943662,0,0,2,3,,0.6666666666666666,1,,0,,1,1,0,,0,,,,,UFC 16: Battle in the Bayou,http://www.ufcstats.com/event-details/749685d24e2cac50,"March 13, 1998",Pat Miletich
2264,0,Michael Kuiper,Tom Lawlor,0,0,14,29,7,13,0.48,0.53,23 of 40,10 of 16,23,40,10,16,0.575,0.625,3,3,0,7,1.0,0.0,0,,1,,0,0,2,10.0,2,50.0,130.0,170.0,Guillotine Choke On Ground,UFC on FUEL TV: Mousasi vs Latifi,http://www.ufcstats.com/event-details/6291ac0a3726732f,"April 06, 2013",Tom Lawlor
2265,0,Hu Yaozong,Rashad Coulter,0,1,92,174,98,157,0.52,0.62,98 of 183,108 of 167,98,183,108,167,0.5355191256830601,0.6467065868263473,0,1,0,0,0.0,,0,,0,,0,0,5,22.0,0,12.0,322.0,12.0,Barry Foley                                     28 - 29.          Mark Craig                                     28 - 29.          Garth Harriman                                     27 - 30.,UFC Fight Night: Blaydes vs. Ngannou 2,http://www.ufcstats.com/event-details/de25520d54eab12d,"November 24, 2018",Rashad Coulter
2266,0,Damian Stasiak,Yaotzin Meza,0,0,14,23,17,25,0.6,0.68,16 of 25,70 of 82,16,25,70,82,0.64,0.8536585365853658,1,2,2,2,0.5,1.0,1,,3,,1,1,2,43.0,10,11.0,163.0,611.0,Mark Collett                                     27 - 30.          Andy Haigh                                     28 - 29.          Paul Sutherland                                     28 - 29.,UFC Fight Night: Gonzaga vs Cro Cop 2,http://www.ufcstats.com/event-details/5de61b03868035ff,"April 11, 2015",Yaotzin Meza
2267,0,Martin Bravo,Claudio Puelles,1,0,56,121,29,68,0.46,0.42,64 of 129,29 of 68,64,129,29,68,0.4961240310077519,0.4264705882352941,0,0,1,6,,0.1666666666666666,0,,0,,0,0,0,2.0,0,34.0,2.0,34.0,Punch to Body In Clinch,UFC Fight Night: Dos Anjos vs. Ferguson,http://www.ufcstats.com/event-details/6083f497c22cc075,"November 05, 2016",Martin Bravo
2268,0,Shane Roller,Mike Budnik,0,0,0,1,2,2,0.0,1.0,0 of 1,2 of 2,0,1,2,2,0.0,1.0,1,1,0,0,1.0,,1,,1,,0,0,0,47.0,0,5.0,47.0,5.0,Guillotine Choke From Bottom Guard,WEC 37: Torres vs. Tapia,http://www.ufcstats.com/event-details/aebfb84d1f6d2d8c,"December 03, 2008",Shane Roller
2269,0,Song Kenan,Bobby Nash,1,0,14,14,1,3,1.0,0.33,15 of 15,1 of 3,15,15,1,3,1.0,0.3333333333333333,0,0,0,0,,,0,,0,,0,0,0,6.0,0,0.0,6.0,0.0,Punches to Head At Distance,UFC Fight Night: Bisping vs. Gastelum,http://www.ufcstats.com/event-details/e7bc606d269896aa,"November 25, 2017",Song Kenan
2270,0,Damian Stasiak,Pingyuan Liu,0,0,24,49,32,77,0.48,0.41,30 of 55,59 of 106,30,55,59,106,0.5454545454545454,0.5566037735849056,3,8,1,1,0.375,1.0,0,,2,,0,1,6,17.0,2,0.0,377.0,120.0,Mark Collett                                     27 - 30.          Andreas Gruner                                     28 - 29.          David Lethaby                                     28 - 29.,UFC Fight Night: Shogun vs. Smith,http://www.ufcstats.com/event-details/4f732e58ed907eff,"July 22, 2018",Pingyuan Liu
2271,0,Pingyuan Liu,Martin Day,1,1,55,133,100,184,0.41,0.54,73 of 155,127 of 218,73,155,127,218,0.4709677419354838,0.5825688073394495,0,4,1,1,0.0,1.0,2,,2,,0,0,4,45.0,2,13.0,285.0,133.0,Mark Craig                                     28 - 29.          Barry Foley                                     29 - 28.          Garth Harriman                                     28 - 29.,UFC Fight Night: Blaydes vs. Ngannou 2,http://www.ufcstats.com/event-details/de25520d54eab12d,"November 24, 2018",Pingyuan Liu
2272,0,Yair Rodriguez,Andre Fili,1,0,25,53,11,31,0.47,0.35,39 of 68,20 of 40,39,68,20,40,0.5735294117647058,0.5,2,2,1,2,1.0,0.5,0,,0,,0,0,3,54.0,0,7.0,234.0,7.0,Kick to Head At Distance      Switch Kick,UFC 197: Jones vs Saint Preux,http://www.ufcstats.com/event-details/3d481aa374c954a1,"April 23, 2016",Yair Rodriguez
2273,0,Kevin Holland,Alex Oliveira,1,0,50,76,21,44,0.65,0.47,51 of 77,21 of 44,51,77,21,44,0.6623376623376623,0.4772727272727273,0,0,2,3,,0.6666666666666666,0,,1,,0,0,0,15.0,0,22.0,15.0,22.0,Elbows to Head From Half Guard,UFC 272: Covington vs. Masvidal,http://www.ufcstats.com/event-details/75e0d3cc2262b732,"March 05, 2022",Kevin Holland
2274,0,Frankie Edgar,Benson Henderson,0,0,68,190,87,264,0.35,0.32,81 of 204,100 of 277,81,204,100,277,0.3970588235294117,0.3610108303249097,5,12,1,1,0.4166666666666667,1.0,0,,3,,0,0,2,8.0,0,37.0,128.0,37.0,Sal D'amato                                     46 - 49.          Howard Hughes                                     47 - 48.          Chris Lee                                     46 - 49.,UFC 144: Edgar vs Henderson,http://www.ufcstats.com/event-details/8377c5572cb356f3,"February 25, 2012",Benson Henderson
2275,0,Michael Graves,Vicente Luque,0,0,27,45,28,57,0.6,0.49,53 of 72,50 of 79,53,72,50,79,0.7361111111111112,0.6329113924050633,7,10,0,0,0.7,,0,,1,,1,0,8,57.0,3,28.0,537.0,208.0,Sal D'amato                                     28 - 29.          Patricia Morse-Jarman                                     28 - 29.          Junichiro Kamijo                                     28 - 29.,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,http://www.ufcstats.com/event-details/a890f9a791ed615d,"July 12, 2015",Michael Graves
2276,0,Kyle Noke,Jonavin Webb,0,1,31,82,23,67,0.37,0.34,44 of 98,33 of 80,44,98,33,80,0.4489795918367347,0.4125,0,0,2,8,,0.25,0,,2,,1,0,2,5.0,3,0.0,125.0,180.0,Christopher Shen                                     30 - 27.          Barry Foley                                     28 - 29.          Charlie Keech                                     28 - 29.,UFC Fight Night: Miocic vs Hunt,http://www.ufcstats.com/event-details/8a1b4330c7957961,"May 09, 2015",Kyle Noke
2277,0,Todd Medina,Larry Cureton,0,0,4,4,1,2,1.0,0.5,64 of 66,15 of 16,64,66,15,16,0.9696969696969696,0.9375,1,1,0,0,1.0,,1,,0,,0,0,0,,0,,,,Forearm Choke From Half Guard,UFC 5: The Return of the Beast,http://www.ufcstats.com/event-details/dedc3bb440d09554,"April 07, 1995",Todd Medina
