,Unnamed: 0,fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event
3,3,Aleksei Kunchenko,Thiago Alves,Welterweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,DEC,fight-night-moscow-sept-15-2018
4,4,Khalid Murtazaliev,CB Dollaway,Middleweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,KO/TKO,fight-night-moscow-sept-15-2018
5,5,Petr Yan,Jin Soo Son,Bantamweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,DEC,fight-night-moscow-sept-15-2018
6,6,Rustam Khabilov,Kajan Johnson,Lightweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,DEC,fight-night-moscow-sept-15-2018
7,7,Mairbek Taisumov,Desmond Green,Lightweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,DEC,fight-night-moscow-sept-15-2018
8,8,Magomed Ankalaev,Marcin Prachnio,Light Heavyweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,KO/TKO,fight-night-moscow-sept-15-2018
9,9,Adam Yandiev,Jordan Johnson,Middleweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,SUB,fight-night-moscow-sept-15-2018
10,10,Ramazan Emeev,Stefan Sekulic,Welterweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,DEC,fight-night-moscow-sept-15-2018
11,11,Merab Dvalishvili,Terrion Ware,Bantamweight Bout,,,fight-night-moscow-sept-15-2018,https://www.ufc.com/event/fight-night-moscow-sept-15-2018,DEC,fight-night-moscow-sept-15-2018
0,0,Demian Maia,Kamaru Usman,Welterweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,dec,fight-night-santiago-2018
1,1,Alexa Grasso,Tatiana Suarez,Women's Strawweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,SUB,fight-night-santiago-2018
2,2,Jared Cannonier,Dominick Reyes,Light Heavyweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,KO/TKO,fight-night-santiago-2018
3,3,Diego Rivas,Guido Cannetti,Bantamweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,DEC,fight-night-santiago-2018
4,4,Veronica Macedo,Andrea Lee,Women's Flyweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,DEC,fight-night-santiago-2018
5,5,Vicente Luque,Chad Laprise,Welterweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,KO/TKO,fight-night-santiago-2018
6,6,Zak Cummings,Michel Prazeres,Welterweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,DEC,fight-night-santiago-2018
7,7,Brandon Moreno,Alexandre Pantoja,Flyweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,DEC,fight-night-santiago-2018
8,8,Poliana Botelho,Syuri Kondo,Women's Strawweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,KO/TKO,fight-night-santiago-2018
9,9,Gabriel Benitez,Humberto Bandenay,Featherweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,KO/TKO,fight-night-santiago-2018
10,10,Enrique Barzola,Brandon Davis,Featherweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,DEC,fight-night-santiago-2018
11,11,Henry Briones,Frankie Saenz,Bantamweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,DEC,fight-night-santiago-2018
12,12,Claudio Puelles,Felipe Silva,Lightweight Bout,,,fight-night-santiago-2018,https://www.ufc.com/event/fight-night-santiago-2018,SUB,fight-night-santiago-2018
0,0,Thiago Santos,Eryk Anders,Light Heavyweight Bout,,,fight-night-sao-paulo-sept-22-2018,https://www.ufc.com/event/fight-night-sao-paulo-sept-22-2018,KO/TKO,fight-night-sao-paulo-sept-22-2018
1,1,Alex Oliveira,Carlo Pedersoli,Welterweight Bout,,,fight-night-sao-paulo-sept-22-2018,https://www.ufc.com/event/fight-night-sao-paulo-sept-22-2018,KO/TKO,fight-night-sao-paulo-sept-22-2018
2,2,Sam Alvey,Antonio Rogerio Nogueira,Light Heavyweight Bout,,,fight-night-sao-paulo-sept-22-2018,https://www.ufc.com/event/fight-night-sao-paulo-sept-22-2018,KO/TKO,fight-night-sao-paulo-sept-22-2018
3,3,Renan Barao,Andre Ewell,Bantamweight Bout,,,fight-night-sao-paulo-sept-22-2018,https://www.ufc.com/event/fight-night-sao-paulo-sept-22-2018,DEC,fight-night-sao-paulo-sept-22-2018
4,4,Randa Markos,Marina Rodriguez,Women's Strawweight Bout,,,fight-night-sao-paulo-sept-22-2018,https://www.ufc.com/event/fight-night-sao-paulo-sept-22-2018,Dec,fight-night-sao-paulo-sept-22-2018
5,5,Charles Oliveira,Christos Giagos,Lightweight Bout,,,fight-night-sao-paulo-sept-22-2018,https://www.ufc.com/event/fight-night-sao-paulo-sept-22-2018,SUB,fight-night-sao-paulo-sept-22-2018
6,6,Francisco Trinaldo,Evan Dunham,Lightweight Bout,,,fight-night-sao-paulo-sept-22-2018,https://www.ufc.com/event/fight-night-sao-paulo-sept-22-2018,KO/TKO,fight-night-sao-paulo-sept-22-2018
