fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event,event_name,full_event_name
Peter Sobotta,Pawel Pawlak,Welterweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Unanimous,fight-night-berlin,Munoz vs Mousasi,fight night berlin Munoz vs Mousasi
Andy Ogle,Maximo Blanco,Featherweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Unanimous,fight-night-berlin,Munoz vs Mousasi,fight night berlin Munoz vs Mousasi
Viktor Pesta,Ruslan Magomedov,Heavyweight Bout,,,fight-night-berlin,https://www.ufc.com/event/fight-night-berlin,Decision - Unanimous,fight-night-berlin,Munoz vs Mousasi,fight night berlin Munoz vs Mousasi
Junior Dos Santos,Blagoy Ivanov, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Sage Northcutt,Zak Ottow, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,KO/TKO,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Dennis Bermudez,Ricky Glenn, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Randy Brown,Niko Price, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,KO/TKO,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Myles Jury,Chad Mendes, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,KO/TKO,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Cat Zingano,Marion Reneau, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Eddie Wineland,Alejandro Pérez, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Darren Elkins,Alexander Volkanovski, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Justin Scoggins,Said Nurmagomedov, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Kurt Holobaugh,Raoni Barcelos, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,KO/TKO,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Liz Carmouche,Jennifer Maia, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Mark De La Rosa,Elias Garcia, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,SUB,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Jessica Aguilar,Jodie Esquibel, ,,,fight-night-boise-2018,https://www.ufc.com/event/fight-night-boise-2018,DEC,fight-night-boise-2018,Dos Santos vs Ivanov,fight night boise 2018 Dos Santos vs Ivanov
Eddie Alvarez,Dustin Poirier,Lightweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,KO/TKO,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
