,Unnamed: 0,W/L,Weight class,Method,Round,Time,Fighter1,Fighter2,F1_Kd,F2_Kd,F1_Str,F2_Str,F1_Td,F2_Td,F1_Sub,F2_Sub,fight_num,event_id
3,3,win,Women's Bantamweight,U-DEC,3,5:00,Yana Kunitskaya,Julija Stoliarenko,0,0,43,6,1,0,0,0,4,7a82635ffa9b59fe
4,4,win,Lightweight,KO/TKO  Spinning Back Fist,1,4:38,Beneil Dariush,Scott Holtzman,1,0,36,9,0,0,0,0,5,7a82635ffa9b59fe
5,5,win,Welterweight,U-DEC,3,5:00,Tim Means,Laureano Staropoli,1,0,85,71,2,0,0,0,6,7a82635ffa9b59fe
6,6,win,Middleweight,KO/TKO  Punch,3,0:32,Kevin Holland,Joaquin Buckley,2,0,79,40,0,0,0,0,7,7a82635ffa9b59fe
7,7,win,Lightweight,U-DEC,3,5:00,Nasrat Haqparast,Alexander Munoz,0,0,104,37,0,1,0,0,8,7a82635ffa9b59fe
8,8,win,Middleweight,KO/TKO  Punch,1,4:14,Andrew Sanchez,Wellington Turman,1,0,28,21,0,0,0,0,9,7a82635ffa9b59fe
9,9,win,Featherweight,SUB  Rear Naked Choke,3,1:43,Gavin Tucker,Justin Jaynes,0,1,87,41,1,0,4,1,10,7a82635ffa9b59fe
10,10,win,Featherweight,U-DEC,3,5:00,Youssef Zalal,Peter Barrett,1,0,54,23,3,0,3,0,11,7a82635ffa9b59fe
11,11,win,Bantamweight,S-DEC,3,5:00,Irwin Rivera,Ali AlQaisi,0,0,36,44,2,2,0,1,12,7a82635ffa9b59fe
0,0,win,Light Heavyweight,KO/TKO  Elbows,1,3:32,Tito Ortiz,Elvis Sinosic,0,0,35,3,1,0,0,0,1,7b9aa973e5c04624
1,1,win,Lightweight,KO/TKO  Knee,1,2:42,BJ Penn,Din Thomas,1,0,6,1,0,1,0,0,2,7b9aa973e5c04624
2,2,win,Heavyweight,SUB  Armbar,1,4:21,Josh Barnett,Semmy Schilt,0,0,10,1,1,0,1,0,3,7b9aa973e5c04624
3,3,win,Welterweight,KO/TKO  Kick,2,2:42,Pat Miletich,Shonie Carter,1,0,10,14,1,0,0,0,4,7b9aa973e5c04624
4,4,win,Lightweight,KO/TKO  Punches,1,1:48,Caol Uno,Fabiano Iha,0,0,8,6,2,0,0,1,5,7b9aa973e5c04624
5,5,win,Light Heavyweight,U-DEC,3,5:00,Vladimir Matyushenko,Yuki Kondo,0,0,17,1,3,0,0,0,6,7b9aa973e5c04624
6,6,win,Heavyweight,KO/TKO  Punches,3,1:23,Ricco Rodriguez,Andrei Arlovski,0,0,30,11,2,0,1,0,7,7b9aa973e5c04624
7,7,win,Welterweight,SUB  Guillotine Choke,1,1:05,Tony DeSouza,Paul Rodriguez,0,0,1,2,0,0,2,0,8,7b9aa973e5c04624
0,0,win,Light Heavyweight,U-DEC,5,5:00,Lyoto Machida,Mauricio Rua,0,0,35,80,0,0,0,0,1,7c0847d3854a95f2
1,1,win,Heavyweight,KO/TKO  Punches,2,0:58,Cain Velasquez,Ben Rothwell,0,0,62,3,5,0,0,0,2,7c0847d3854a95f2
2,2,win,Lightweight,U-DEC,3,5:00,Gleison Tibau,Josh Neer,0,0,22,24,11,0,2,0,3,7c0847d3854a95f2
3,3,win,Lightweight,KO/TKO  Elbows,2,4:03,Joe Stevenson,Spencer Fisher,0,0,28,14,2,0,0,0,4,7c0847d3854a95f2
4,4,win,Welterweight,KO/TKO  Punch,1,0:41,Anthony Johnson,Yoshiyuki Yoshida,1,0,10,0,0,0,0,0,5,7c0847d3854a95f2
5,5,win,Light Heavyweight,U-DEC,3,5:00,Ryan Bader,Eric Schafer,2,0,52,25,3,0,0,1,6,7c0847d3854a95f2
6,6,win,Heavyweight,KO/TKO  Punches,2,2:30,Pat Barry,Antoni Hardonk,1,0,29,29,0,0,0,0,7,7c0847d3854a95f2
7,7,win,Middleweight,U-DEC,3,5:00,Chael Sonnen,Yushin Okami,0,0,91,25,4,0,0,1,8,7c0847d3854a95f2
8,8,win,Middleweight,KO/TKO  Punches,3,1:53,Jorge Rivera,Rob Kimmons,1,0,66,23,0,1,0,0,9,7c0847d3854a95f2
9,9,win,Light Heavyweight,S-DEC,3,5:00,Kyle Kingsbury,Razak Al-Hassan,0,0,25,31,2,1,0,0,10,7c0847d3854a95f2
10,10,win,Heavyweight,SUB  Triangle Choke,1,4:04,Stefan Struve,Chase Gormley,0,0,12,8,1,1,3,1,11,7c0847d3854a95f2
0,0,win,Middleweight,S-DEC,5,5:00,Lyoto Machida,Eryk Anders,0,0,62,32,0,3,0,0,1,7cf20446453f852b
1,1,win,Women's Flyweight,SUB  Rear Naked Choke,2,4:25,Valentina Shevchenko,Priscila Cachoeira,0,0,95,2,2,0,2,0,2,7cf20446453f852b
2,2,win,Lightweight,U-DEC,3,5:00,Michel Prazeres,Desmond Green,0,0,36,33,3,3,3,0,3,7cf20446453f852b
3,3,win,Heavyweight,U-DEC,3,5:00,Timothy Johnson,Marcelo Golm,0,0,77,59,0,0,0,0,4,7cf20446453f852b
4,4,win,Bantamweight,U-DEC,3,5:00,Douglas Silva de Andrade,Marlon Vera,0,0,97,72,1,0,0,0,5,7cf20446453f852b
5,5,win,Middleweight,KO/TKO  Kick,2,1:03,Thiago Santos,Anthony Smith,2,0,58,10,0,1,0,0,6,7cf20446453f852b
6,6,win,Welterweight,S-DEC,3,5:00,Sergio Moraes,Tim Means,0,1,87,129,0,0,0,0,7,7cf20446453f852b
7,7,win,Lightweight,U-DEC,3,5:00,Alan Patrick,Damir Hadzovic,0,0,28,20,9,0,0,1,8,7cf20446453f852b
8,8,win,Women's Strawweight,SUB  Rear Naked Choke,1,3:50,Polyana Viana,Maia Stevenson,0,0,12,6,1,1,3,0,9,7cf20446453f852b
9,9,win,Bantamweight,KO/TKO  Punches,1,1:06,Iuri Alcantara,Joe Soto,1,0,17,1,0,0,0,0,10,7cf20446453f852b
10,10,win,Flyweight,KO/TKO  Punches,2,4:34,Deiveson Figueiredo,Joseph Morales,1,0,31,9,2,0,1,0,11,7cf20446453f852b
0,0,win,Lightweight,U-DEC,3,5:00,Diego Sanchez,Joe Stevenson,0,0,91,41,1,0,1,1,1,7d21de9c6d7c98b2
1,1,win,Welterweight,KO/TKO  Punch,1,1:09,Dan Hardy,Rory Markham,1,0,5,2,0,0,0,0,2,7d21de9c6d7c98b2
2,2,win,Middleweight,KO/TKO  Flying Knee,3,3:10,Nate Marquardt,Wilson Gouveia,1,0,67,16,2,0,1,1,3,7d21de9c6d7c98b2
3,3,win,Middleweight,SUB  Triangle Choke,1,2:37,Demian Maia,Chael Sonnen,0,0,6,8,1,0,1,0,4,7d21de9c6d7c98b2
4,4,win,Welterweight,KO/TKO  Punches,1,3:29,Paulo Thiago,Josh Koscheck,1,0,7,8,0,0,0,0,5,7d21de9c6d7c98b2
5,5,win,Lightweight,KO/TKO  Kick,2,0:10,Terry Etim,Brian Cobb,1,0,19,0,1,2,0,0,6,7d21de9c6d7c98b2
6,6,win,Heavyweight,KO/TKO  Punches,1,0:54,Junior Dos Santos,Stefan Struve,2,0,12,0,0,0,0,0,7,7d21de9c6d7c98b2
7,7,win,Lightweight,KO/TKO  Punch,1,2:13,Evan Dunham,Per Eklund,1,0,13,9,0,1,1,1,8,7d21de9c6d7c98b2
8,8,win,Heavyweight,SUB  Heel Hook,1,1:03,Mike Ciesnolevicz,Neil Grove,0,0,0,0,0,0,2,1,9,7d21de9c6d7c98b2
9,9,win,Welterweight,U-DEC,3,5:00,Paul Kelly,Troy Mandaloniz,0,1,71,38,2,4,0,0,10,7d21de9c6d7c98b2
0,0,win,Lightweight,KO/TKO  Punches,4,3:54,Frankie Edgar,Gray Maynard,1,1,61,42,0,0,0,0,1,7d5b12de1625984e
1,1,win,Featherweight,U-DEC,5,5:00,Jose Aldo,Kenny Florian,0,0,51,40,0,1,0,0,2,7d5b12de1625984e
2,2,win,Middleweight,SUB  Arm Triangle,2,3:51,Chael Sonnen,Brian Stann,0,0,28,2,4,0,1,0,3,7d5b12de1625984e
3,3,win,Featherweight,U-DEC,3,5:00,Nam Phan,Leonard Garcia,0,1,174,100,1,0,0,0,4,7d5b12de1625984e
4,4,win,Lightweight,SUB  Rear Naked Choke,1,0:47,Joe Lauzon,Melvin Guillard,0,0,2,3,0,0,1,0,5,7d5b12de1625984e
5,5,win,Middleweight,U-DEC,3,5:00,Demian Maia,Jorge Santiago,0,0,24,18,4,0,0,0,6,7d5b12de1625984e
6,6,win,Lightweight,S-DEC,3,5:00,Anthony Pettis,Jeremy Stephens,0,0,21,17,6,3,0,0,7,7d5b12de1625984e
7,7,win,Heavyweight,U-DEC,3,5:00,Stipe Miocic,Joey Beltran,0,0,68,52,4,1,0,0,8,7d5b12de1625984e
8,8,win,Featherweight,U-DEC,3,5:00,Darren Elkins,Zhang Tiequan,0,0,27,2,1,0,3,3,9,7d5b12de1625984e
9,9,win,Middleweight,U-DEC,3,5:00,Aaron Simpson,Eric Schafer,2,0,58,14,0,0,0,0,10,7d5b12de1625984e
10,10,win,Middleweight,U-DEC,3,5:00,Mike Massenzio,Steve Cantwell,0,0,78,56,1,0,0,1,11,7d5b12de1625984e
0,0,win,Heavyweight,KO/TKO  Knee,1,4:45,Alistair Overeem,Aleksei Oleinik,1,0,29,38,0,0,0,0,1,7dcf06c1967801c1
1,1,win,Lightweight,U-DEC,3,5:00,Islam Makhachev,Arman Tsarukyan,0,0,14,13,4,1,0,0,2,7dcf06c1967801c1
2,2,win,Heavyweight,KO/TKO  Punches,1,1:06,Sergei Pavlovich,Marcelo Golm,1,0,17,5,0,0,0,0,3,7dcf06c1967801c1
3,3,win,Women's Flyweight,S-DEC,3,5:00,Roxanne Modafferi,Antonina Shevchenko,0,0,33,64,5,0,0,0,4,7dcf06c1967801c1
4,4,win,Middleweight,U-DEC,3,5:00,Krzysztof Jotko,Alen Amedovski,0,0,43,6,4,0,0,0,5,7dcf06c1967801c1
5,5,win,Featherweight,U-DEC,3,5:00,Movsar Evloev,SeungWoo Choi,0,0,50,26,5,0,0,0,6,7dcf06c1967801c1
6,6,win,Welterweight,U-DEC,3,5:00,Sultan Aliev,Keita Nakamura,0,0,25,29,2,0,0,0,7,7dcf06c1967801c1
7,7,win,Lightweight,SUB  Schultz Front Headlock,2,3:10,Alexander Yakovlev,Alex Da Silva,0,0,14,8,1,1,1,0,8,7dcf06c1967801c1
8,8,win,Heavyweight,KO/TKO  Punches,2,3:15,Shamil Abdurakhimov,Marcin Tybura,1,0,36,28,0,0,0,0,9,7dcf06c1967801c1
9,9,win,Light Heavyweight,KO/TKO  Punch,1,0:44,Michal Oleksiejczuk,Gadzhimurad Antigulov,3,0,8,6,0,0,0,0,10,7dcf06c1967801c1
10,10,win,Lightweight,KO/TKO  Spinning Back Kick,1,1:26,Magomed Mustafaev,Rafael Fiziev,1,0,10,1,0,0,0,0,11,7dcf06c1967801c1
0,0,win,Women's Bantamweight,U-DEC,5,5:00,Holly Holm,Irene Aldana,0,0,154,69,5,0,0,0,1,805ad1801eb26abb
1,1,win,Heavyweight,U-DEC,3,5:00,Carlos Felipe,Yorgan De Castro,0,0,78,48,0,0,0,0,2,805ad1801eb26abb
2,2,win,Women's Bantamweight,SUB  Guillotine Choke,3,3:25,Germaine de Randamie,Julianna Pena,0,0,37,27,0,3,2,0,3,805ad1801eb26abb
3,3,win,Bantamweight,KO/TKO  Elbows,2,0:44,Kyler Phillips,Cameron Else,0,0,32,11,2,0,0,0,4,805ad1801eb26abb
4,4,win,Middleweight,KO/TKO  Punches,2,3:15,Dusko Todorovic,Dequan Townsend,0,0,85,13,1,0,0,0,5,805ad1801eb26abb
5,5,win,Welterweight,U-DEC,3,5:00,Carlos Condit,Court McGee,1,0,88,84,0,0,0,0,6,805ad1801eb26abb
6,6,draw  draw,Featherweight,S-DEC,3,5:00,Charles Jourdain,Josh Culibao,0,1,44,46,0,0,3,0,7,805ad1801eb26abb
7,7,win,Middleweight,U-DEC,3,5:00,Nassourdine Imavov,Jordan Williams,0,0,68,30,1,0,4,0,8,805ad1801eb26abb
8,8,win,Women's Strawweight,U-DEC,3,5:00,Loma Lookboonmee,Jinh Yu Frey,0,0,80,26,0,1,0,0,9,805ad1801eb26abb
9,9,win,Bantamweight,U-DEC,3,5:00,Casey Kenney,Alatengheili,0,0,109,46,0,0,0,0,10,805ad1801eb26abb
10,10,win,Lightweight,KO/TKO  Kick,1,1:12,Luigi Vendramini,Jessin Ayari,1,0,13,2,0,0,0,0,11,805ad1801eb26abb
0,0,win,Lightweight,KO/TKO  Punches,1,1:06,Rafael Dos Anjos,Donald Cerrone,0,0,26,4,0,0,0,0,1,80d918336163b80c
1,1,win,Heavyweight,KO/TKO  Punches,2,4:43,Alistair Overeem,Junior Dos Santos,1,0,32,22,0,0,0,0,2,80d918336163b80c
2,2,win,Lightweight,U-DEC,3,5:00,Nate Diaz,Michael Johnson,0,0,153,103,0,1,0,0,3,80d918336163b80c
3,3,win,Women's Strawweight,U-DEC,3,5:00,Karolina Kowalkiewicz,Randa Markos,0,0,66,34,0,1,0,0,4,80d918336163b80c
4,4,win,Featherweight,SUB  Guillotine Choke,1,3:05,Charles Oliveira,Myles Jury,0,0,5,5,1,0,1,0,5,80d918336163b80c
5,5,win,Middleweight,KO/TKO  Punch,2,0:28,Nate Marquardt,CB Dollaway,1,0,16,15,0,0,0,0,6,80d918336163b80c
6,6,win,Women's Bantamweight,S-DEC,3,5:00,Valentina Shevchenko,Sarah Kaufman,0,0,32,27,4,1,0,0,7,80d918336163b80c
7,7,win,Middleweight,SUB  Triangle Choke,3,4:10,Tamdan McCrory,Josh Samman,0,0,39,10,2,2,1,0,8,80d918336163b80c
8,8,win,Lightweight,S-DEC,3,5:00,Nik Lentz,Danny Castillo,0,0,59,57,3,2,2,0,9,80d918336163b80c
9,9,nc  nc,Featherweight,CNC,2,1:34,Cole Miller,Jim Alers,0,0,28,25,0,0,0,0,10,80d918336163b80c
10,10,win,Welterweight,U-DEC,3,5:00,Kamaru Usman,Leon Edwards,0,0,48,26,6,0,0,0,11,80d918336163b80c
11,11,win,Welterweight,SUB  Anaconda Choke,1,2:13,Vicente Luque,Hayder Hassan,0,0,12,15,0,0,1,0,12,80d918336163b80c
12,12,win,Heavyweight,KO/TKO  Punch,2,2:53,Francis Ngannou,Luis Henrique,1,0,25,5,0,1,0,0,13,80d918336163b80c
0,0,win,Welterweight,KO/TKO  Punch,2,3:05,Jorge Masvidal,Darren Till,1,1,35,21,1,1,0,0,1,80eacd4da0617c57
1,1,win,Welterweight,S-DEC,3,5:00,Leon Edwards,Gunnar Nelson,1,0,31,9,2,3,0,0,2,80eacd4da0617c57
2,2,win,Light Heavyweight,S-DEC,3,5:00,Dominick Reyes,Volkan Oezdemir,0,0,44,35,0,1,0,0,3,80eacd4da0617c57
3,3,win,Bantamweight,SUB  Rear Naked Choke,2,2:46,Nathaniel Wood,Jose Quinonez,0,0,30,34,2,1,2,0,4,80eacd4da0617c57
4,4,win,Welterweight,SUB  Armbar,3,2:37,Claudio Silva,Danny Roberts,0,0,19,26,3,0,4,0,5,80eacd4da0617c57
5,5,win,Middleweight,S-DEC,3,5:00,Jack Marshman,John Phillips,0,1,31,32,0,0,0,0,6,80eacd4da0617c57
6,6,win,Featherweight,U-DEC,3,5:00,Arnold Allen,Jordan Rinaldi,1,0,37,30,0,0,0,0,7,80eacd4da0617c57
7,7,win,Lightweight,U-DEC,3,5:00,Marc Diakiese,Joe Duffy,1,0,63,15,3,1,0,0,8,80eacd4da0617c57
8,8,win,Light Heavyweight,U-DEC,3,5:00,Saparbeg Safarov,Nicolae Negumereanu,0,0,70,11,3,0,0,0,9,80eacd4da0617c57
9,9,win,Featherweight,SUB  Rear Naked Choke,1,1:17,Dan Ige,Danny Henry,1,0,10,4,1,0,1,0,10,80eacd4da0617c57
10,10,win,Women's Flyweight,U-DEC,3,5:00,Molly McCann,Priscila Cachoeira,0,0,107,75,2,0,2,0,11,80eacd4da0617c57
11,11,win,Featherweight,KO/TKO  Punches,2,4:42,Mike Grundy,Nad Narimani,1,0,33,22,1,0,0,0,12,80eacd4da0617c57
0,0,win,Heavyweight,U-DEC,5,5:00,Ciryl Gane,Jairzinho Rozenstruik,0,0,102,42,2,0,0,0,1,81b57acd6975ac06
1,1,win,Light Heavyweight,U-DEC,3,5:00,Magomed Ankalaev,Nikita Krylov,0,0,43,47,3,1,0,0,2,81b57acd6975ac06
2,2,draw  draw,Women's Flyweight,M-DEC,3,5:00,Montana De La Rosa,Mayra Bueno Silva,0,0,30,52,3,0,0,1,3,81b57acd6975ac06
3,3,win,Bantamweight,U-DEC,3,5:00,Pedro Munhoz,Jimmie Rivera,0,0,94,65,0,1,0,0,4,81b57acd6975ac06
4,4,win,Featherweight,U-DEC,3,5:00,Alex Caceres,Kevin Croom,0,0,48,16,1,1,1,0,5,81b57acd6975ac06
5,5,win,Lightweight,U-DEC,3,5:00,Thiago Moises,Alexander Hernandez,0,0,53,50,0,0,0,0,6,81b57acd6975ac06
6,6,win,Women's Bantamweight,U-DEC,3,5:00,Alexis Davis,Sabina Mazo,0,0,49,64,3,0,0,0,7,81b57acd6975ac06
7,7,win,Bantamweight,KO/TKO  Punches,3,2:38,Ronnie Lawrence,Vince Cachero,0,0,77,15,8,0,0,1,8,81b57acd6975ac06
8,8,win,Light Heavyweight,U-DEC,3,5:00,Dustin Jacoby,Maxim Grishin,0,2,57,66,0,0,0,0,9,81b57acd6975ac06
0,0,win,Light Heavyweight,S-DEC,5,5:00,Jan Blachowicz,Jacare Souza,0,0,71,20,0,0,0,0,1,81ca2c245b19b3c5
1,1,draw  draw,Light Heavyweight,S-DEC,3,5:00,Mauricio Rua,Paul Craig,0,0,25,51,1,1,0,1,2,81ca2c245b19b3c5
2,2,win,Lightweight,KO/TKO  Punch,1,1:26,Charles Oliveira,Jared Gordon,1,0,10,7,0,0,0,0,3,81ca2c245b19b3c5
3,3,win,Middleweight,U-DEC,3,5:00,Andre Muniz,Antonio Arroyo,0,0,22,29,3,1,2,0,4,81ca2c245b19b3c5
4,4,win,Middleweight,U-DEC,3,5:00,Wellington Turman,Markus Perez,0,0,48,49,2,0,0,0,5,81ca2c245b19b3c5
5,5,win,Welterweight,KO/TKO  Punch,3,4:19,James Krause,Sergio Moraes,3,0,102,41,0,1,0,0,6,81ca2c245b19b3c5
6,6,win,Featherweight,SUB  Rear Naked Choke,1,3:57,Ricardo Ramos,Eduardo Garagorri,0,0,10,6,2,0,1,0,7,81ca2c245b19b3c5
7,7,win,Lightweight,U-DEC,3,5:00,Francisco Trinaldo,Bobby Green,0,0,31,50,1,2,1,0,8,81ca2c245b19b3c5
8,8,win,Welterweight,SUB  Triangle Choke,2,1:22,Randy Brown,Warlley Alves,0,0,16,3,1,3,1,2,9,81ca2c245b19b3c5
9,9,win,Featherweight,U-DEC,3,5:00,Douglas Silva de Andrade,Renan Barao,0,0,74,58,0,2,0,0,10,81ca2c245b19b3c5
10,10,win,Women's Flyweight,U-DEC,3,5:00,Ariane Lipski,Isabela de Padua,1,0,31,15,0,2,1,1,11,81ca2c245b19b3c5
11,11,win,Women's Bantamweight,U-DEC,3,5:00,Tracy Cortez,Vanessa Melo,0,0,79,40,2,0,0,0,12,81ca2c245b19b3c5
0,0,win,Middleweight,U-DEC,5,5:00,Israel Adesanya,Brad Tavares,0,0,119,40,0,1,1,0,1,8215e4fe24e8e81b
1,1,win,Lightweight,S-DEC,3,5:00,Michael Trizano,Joe Giannetti,0,0,42,29,0,1,1,0,2,8215e4fe24e8e81b
2,2,win,Featherweight,U-DEC,3,5:00,Brad Katona,Jay Cucciniello,0,0,71,14,2,0,0,0,3,8215e4fe24e8e81b
3,3,win,Featherweight,S-DEC,3,5:00,Alex Caceres,Martin Bravo,0,0,82,78,0,3,0,0,4,8215e4fe24e8e81b
4,4,win,Women's Flyweight,KO/TKO  Elbows,2,3:32,Roxanne Modafferi,Barb Honchak,0,0,51,24,1,0,0,0,5,8215e4fe24e8e81b
5,5,win,Middleweight,S-DEC,3,5:00,Alessio Di Chirico,Julian Marquez,0,0,50,47,4,0,0,2,6,8215e4fe24e8e81b
6,6,win,Women's Flyweight,SUB  Rear Naked Choke,3,4:21,Montana De La Rosa,Rachael Ostovich,0,0,56,40,0,0,1,1,7,8215e4fe24e8e81b
7,7,win,Lightweight,SUB  Guillotine Choke,1,3:32,Luis Pena,Richie Smullen,1,0,8,7,1,2,1,0,8,8215e4fe24e8e81b
8,8,win,Lightweight,M-DEC,3,5:00,John Gunther,Allan Zuniga,0,0,27,59,8,0,0,1,9,8215e4fe24e8e81b
9,9,win,Featherweight,M-DEC,3,5:00,Bryce Mitchell,Tyler Diamond,0,0,38,51,3,3,1,0,10,8215e4fe24e8e81b
10,10,win,Featherweight,S-DEC,3,5:00,Steven Peterson,Matt Bessette,0,0,74,57,2,0,1,0,11,8215e4fe24e8e81b
11,11,win,Middleweight,SUB  Rear Naked Choke,2,4:55,Gerald Meerschaert,Oskar Piechota,0,1,51,23,3,1,2,2,12,8215e4fe24e8e81b
0,0,win,Lightweight,KO/TKO,5,2:37,BJ Penn,Diego Sanchez,0,0,70,8,0,0,0,0,1,821cd80aab70d5f9
1,1,win,Heavyweight,SUB  Guillotine Choke,1,1:12,Frank Mir,Cheick Kongo,1,0,2,0,0,0,1,0,2,821cd80aab70d5f9
2,2,win,Welterweight,U-DEC,3,5:00,Jon Fitch,Mike Pierce,0,0,55,54,4,1,0,0,3,821cd80aab70d5f9
3,3,win,Lightweight,SUB  Rear Naked Choke,2,2:19,Kenny Florian,Clay Guida,1,0,22,13,1,0,1,0,4,821cd80aab70d5f9
4,4,win,Heavyweight,M-DEC,3,5:00,Stefan Struve,Paul Buentello,0,1,54,37,1,0,2,0,5,821cd80aab70d5f9
5,5,win,Catch Weight,KO/TKO  Punches,1,3:03,Alan Belcher,Wilson Gouveia,1,0,21,29,0,0,0,0,6,821cd80aab70d5f9
6,6,win,Lightweight,U-DEC,3,5:00,Matt Wiman,Shane Nelson,0,0,55,20,2,1,0,3,7,821cd80aab70d5f9
7,7,win,Welterweight,U-DEC,3,5:00,Johny Hendricks,Ricardo Funch,0,0,49,16,7,1,4,0,8,821cd80aab70d5f9
8,8,win,Middleweight,SUB  Heel Hook,2,3:21,Rousimar Palhares,Lucio Linhares,0,0,6,8,1,2,3,2,9,821cd80aab70d5f9
9,9,win,Welterweight,SUB  Triangle Choke,1,4:03,DaMarques Johnson,Edgar Garcia,0,0,10,17,0,1,1,1,10,821cd80aab70d5f9
10,10,win,Welterweight,KO/TKO  Punch,1,4:57,TJ Grant,Kevin Burns,1,1,28,14,1,0,0,0,11,821cd80aab70d5f9
0,0,win,Flyweight,U-DEC,5,5:00,Demetrious Johnson,John Dodson,0,0,88,58,4,1,0,0,1,82f5c81f4e3c3eb5
1,1,win,Heavyweight,U-DEC,3,5:00,Andrei Arlovski,Frank Mir,0,0,39,24,0,1,0,0,2,82f5c81f4e3c3eb5
2,2,win,Light Heavyweight,KO/TKO  Punch,2,0:28,Anthony Johnson,Jimi Manuwa,1,0,25,8,2,0,0,0,3,82f5c81f4e3c3eb5
3,3,win,Light Heavyweight,U-DEC,3,5:00,Corey Anderson,Jan Blachowicz,0,0,84,20,4,1,0,1,4,82f5c81f4e3c3eb5
4,4,win,Women's Strawweight,SUB  Armbar,3,1:01,Paige VanZant,Alex Chambers,0,0,73,30,3,0,1,1,5,82f5c81f4e3c3eb5
5,5,win,Lightweight,S-DEC,3,5:00,Ross Pearson,Paul Felder,0,0,62,60,1,0,0,0,6,82f5c81f4e3c3eb5
6,6,win,Bantamweight,SUB  Guillotine Choke,1,2:08,John Lineker,Francisco Rivera,1,0,28,16,0,0,1,0,7,82f5c81f4e3c3eb5
7,7,win,Women's Bantamweight,SUB  Rear Naked Choke,2,4:58,Raquel Pennington,Jessica Andrade,0,0,41,41,2,4,1,1,8,82f5c81f4e3c3eb5
8,8,win,Featherweight,S-DEC,3,5:00,Tiago dos Santos e Silva,Clay Collard,0,1,52,84,1,1,1,0,9,82f5c81f4e3c3eb5
9,9,win,Middleweight,DQ,2,2:28,Joe Riggs,Ron Stallings,1,0,35,24,2,0,0,0,10,82f5c81f4e3c3eb5
10,10,win,Lightweight,S-DEC,3,5:00,Joaquim Silva,Nazareno Malegarie,0,0,49,58,0,1,0,0,11,82f5c81f4e3c3eb5
0,0,win,Welterweight,KO/TKO,5,1:19,Colby Covington,Tyron Woodley,0,0,78,34,3,1,0,0,1,831b937811804dad
1,1,nc  nc,Welterweight,Overturned,3,5:00,Donald Cerrone,Niko Price,0,0,113,150,0,0,0,0,2,831b937811804dad
2,2,win,Middleweight,KO/TKO  Punch,1,0:17,Khamzat Chimaev,Gerald Meerschaert,1,0,4,0,0,0,0,0,3,831b937811804dad
3,3,win,Light Heavyweight,KO/TKO  Punches,1,2:43,Johnny Walker,Ryan Spann,0,2,26,7,0,2,0,0,4,831b937811804dad
4,4,win,Women's Strawweight,SUB  Armbar,1,3:44,Mackenzie Dern,Randa Markos,0,0,9,3,0,0,5,0,5,831b937811804dad
5,5,win,Middleweight,S-DEC,3,5:00,Kevin Holland,Darren Stewart,0,0,74,57,0,3,0,0,6,831b937811804dad
6,6,win,Flyweight,U-DEC,3,5:00,David Dvorak,Jordan Espinosa,0,0,68,50,0,0,0,0,7,831b937811804dad
7,7,win,Featherweight,SUB  Guillotine Choke,3,1:21,Damon Jackson,Mirsad Bektic,0,0,12,13,0,7,7,0,8,831b937811804dad
8,8,win,Women's Flyweight,SUB  Armbar,1,2:29,Mayra Bueno Silva,Mara Romero Borella,0,0,2,6,0,1,1,0,9,831b937811804dad
9,9,win,Women's Bantamweight,KO/TKO  Knee,3,4:21,Jessica-Rose Clark,Sarah Alpar,0,0,76,12,1,2,0,0,10,831b937811804dad
10,10,win,Featherweight,SUB  Guillotine Choke,1,0:52,Darrick Minner,TJ Laramie,0,0,15,0,0,0,1,0,11,831b937811804dad
11,11,win,Bantamweight,KO/TKO  Kick,1,0:41,Randy Costa,Journey Newson,1,0,4,1,0,0,0,0,12,831b937811804dad
12,12,win,Bantamweight,S-DEC,3,5:00,Andre Ewell,Irwin Rivera,0,0,123,81,0,1,0,0,13,831b937811804dad
13,13,win,Bantamweight,KO/TKO  Punches,2,0:34,Tyson Nam,Jerome Rivera,1,0,36,30,0,0,0,0,14,831b937811804dad
0,0,win,Lightweight,U-DEC,5,5:00,Benson Henderson,Frankie Edgar,0,0,87,68,1,5,3,0,1,8377c5572cb356f3
1,1,win,Light Heavyweight,U-DEC,3,5:00,Ryan Bader,Quinton Jackson,0,0,55,16,4,1,0,0,2,8377c5572cb356f3
2,2,win,Heavyweight,KO/TKO  Punches,1,2:11,Mark Hunt,Cheick Kongo,1,0,10,5,0,0,0,0,3,8377c5572cb356f3
3,3,win,Welterweight,U-DEC,3,5:00,Jake Shields,Yoshihiro Akiyama,0,0,91,33,2,2,0,0,4,8377c5572cb356f3
4,4,win,Middleweight,KO/TKO  Punches,3,0:54,Tim Boetsch,Yushin Okami,1,0,42,29,0,1,1,0,5,8377c5572cb356f3
5,5,win,Featherweight,U-DEC,3,5:00,Hatsu Hioki,Bart Palaszewski,0,0,67,26,2,0,2,1,6,8377c5572cb356f3
6,6,win,Lightweight,KO/TKO  Kick,1,1:21,Anthony Pettis,Joe Lauzon,1,0,9,0,0,0,0,0,7,8377c5572cb356f3
7,7,win,Lightweight,KO/TKO  Punches,2,2:21,Takanori Gomi,Eiji Mitsuoka,0,1,48,32,0,1,0,1,8,8377c5572cb356f3
8,8,win,Bantamweight,SUB  Armbar,1,4:29,Vaughan Lee,Norifumi Yamamoto,1,0,14,21,0,1,2,0,9,8377c5572cb356f3
